category,total_orders,total_units_sold,total_revenue,total_freight,total_order_value,avg_item_price
health_beauty,8836,11081,1258681.34,182566.73,1441248.07,130.16
watches_gifts,5624,6594,1205005.68,100535.93,1305541.61,201.14
bed_bath_table,9417,13665,1036988.68,204693.04,1241681.72,93.3
sports_leisure,7720,9932,988048.97,168607.51,1156656.48,114.34
computers_accessories,6689,9874,911954.32,147318.08,1059272.4,116.51
furniture_decor,6449,11540,729762.49,172749.3,902511.79,87.56
cool_stuff,3632,4077,635290.85,84039.1,719329.95,167.36
housewares,5884,9051,632248.66,146149.11,778397.77,90.79
auto,3897,4881,592720.11,92664.21,685384.32,139.96
garden_tools,3518,5874,485256.46,98962.75,584219.21,111.63
toys,3886,4445,483946.6,77425.95,561372.55,117.55
baby,2885,3427,411764.89,68353.11,480118,134.34
perfumery,3162,3785,399124.87,54213.84,453338.71,116.74
telephony,4199,5161,323667.53,71215.79,394883.32,71.21
office_furniture,1273,2538,273960.7,68571.95,342532.65,162.01
stationery,2311,2805,230943.23,46798.48,277741.71,91.75
computers,181,235,222963.13,9836.3,232799.43,1098.34
pet_shop,1710,2276,214315.41,39561.24,253876.65,110.07
musical_instruments,628,766,191498.88,18638.49,210137.37,281.62
small_appliances,630,745,190648.58,16020.25,206668.83,280.78
Unknown,1451,1878,179535.28,28169.81,207705.09,112
electronics,2550,3092,160246.74,46578.32,206825.06,57.91
consoles_games,1062,1246,157465.22,19828.02,177293.24,138.49
fashion_bags_accessories,1864,2267,152823.54,31450,184273.54,75.25
construction_tools_construction,748,1289,144677.59,20650.41,165328,155.73
luggage_accessories,1034,1171,140429.98,30445.23,170875.21,128.6
home_appliances_2,234,243,113317.74,10600.18,123917.92,476.12
home_construction,490,815,83088.12,13832.24,96920.36,137.56
home_appliances,764,778,80171.53,14818.9,94990.43,103.98
agro_industry_and_commerce,182,265,72530.47,5843.6,78374.07,342.12
furniture_living_room,422,665,68916.56,17968.17,86884.73,137.01
fixed_telephony,217,366,59583,4637.81,64220.81,225.69
home_confort,397,513,58572.04,8501.23,67073.27,134.96
air_conditioning,253,362,55024.96,6749.23,61774.19,185.27
audio,350,383,50688.5,5710.44,56398.94,139.25
small_appliances_home_oven_and_coffee,75,77,47445.71,2747.86,50193.57,624.29
books_general_interest,512,609,46856.88,9195.52,56052.4,84.73
kitchen_dining_laundry_garden_furniture,248,325,46328.37,11999.43,58327.8,164.87
construction_tools_lights,244,432,41080,7583.8,48663.8,135.13
construction_tools_safety,167,252,40544.52,3919.1,44463.62,208.99
industry_commerce_and_business,235,312,39669.61,7884.68,47554.29,148.02
food,450,609,29393.41,7271.03,36664.44,57.63
market_place,280,380,28378.47,5456.06,33834.53,91.25
costruction_tools_garden,194,305,25715.89,5311.4,31027.29,108.05
art,202,230,24202.64,4045.17,28247.81,115.8
fashion_shoes,240,293,23562.77,4918.87,28481.64,89.93
drinks,297,567,22428.7,5741.25,28169.95,59.18
signaling_and_security,140,307,21509.23,6507.82,28017.05,108.09
furniture_bedroom,95,125,20028.78,4632.23,24661.01,183.75
books_technical,260,275,19096.06,4283.06,23379.12,71.52
costruction_tools_tools,97,109,15903.95,2030.22,17934.17,154.41
food_drink,227,365,15179.48,4507.99,19687.47,54.6
fashion_male_clothing,112,156,10797.82,2152.41,12950.23,81.8
fashion_underwear_beach,121,147,9541.55,1916.19,11457.74,72.84
christmas_supplies,128,202,8800.82,3229.3,12030.12,57.52
tablets_printing_image,79,89,7528.41,1226.2,8754.61,90.7
cine_photo,65,82,6933.46,1256.2,8189.66,96.3
music,38,39,6034.35,690.51,6724.86,158.8
dvds_blu_ray,59,70,5999.39,1288.74,7288.13,93.74
books_imported,53,68,4639.85,769.85,5409.7,77.33
party_supplies,39,47,4485.18,827.97,5313.15,104.31
furniture_mattress_and_upholstery,38,38,4368.08,1630.46,5998.54,114.95
portateis_cozinha_e_preparadores_de_alimentos,14,16,3968.53,309.76,4278.29,264.57
fashio_female_clothing,39,66,2803.64,621.75,3425.39,58.41
fashion_sport,27,38,2119.51,578.13,2697.64,70.65
la_cuisine,13,16,2054.99,333.55,2388.54,146.78
arts_and_craftmanship,23,26,1814.01,370.13,2184.14,75.58
diapers_and_hygiene,27,66,1567.59,573.68,2141.27,40.19
pc_gamer,8,11,1545.95,133.57,1679.52,171.77
flowers,29,37,1110.04,488.87,1598.91,33.64
home_comfort_2,24,39,760.27,410.31,1170.58,25.34
cds_dvds_musicals,12,16,730,224.99,954.99,52.14
fashion_childrens_clothes,8,8,569.85,95.51,665.36,71.23
security_and_services,2,2,283.29,41.22,324.51,141.64
